chemName,GeneId,action,chemId
"antihemophilic factor, human recombinant",F9,yes,CHEMBL4297873
"antihemophilic factor, human recombinant",VWF,yes,CHEMBL4297873
"antihemophilic factor, human recombinant",PHYH,unknown,CHEMBL4297873
"antihemophilic factor, human recombinant",ASGR2,unknown,CHEMBL4297873
"antihemophilic factor, human recombinant",HSPA5,unknown,CHEMBL4297873
"antihemophilic factor, human recombinant",CALR,unknown,CHEMBL4297873
"antihemophilic factor, human recombinant",CANX,unknown,CHEMBL4297873
"antihemophilic factor, human recombinant",LMAN1,unknown,CHEMBL4297873
"antihemophilic factor, human recombinant",LRP1,unknown,CHEMBL4297873
"antihemophilic factor, human recombinant",MCFD2,unknown,CHEMBL4297873
"antihemophilic factor, human recombinant",F2,unknown,CHEMBL4297873
"antihemophilic factor, human recombinant",PROC,unknown,CHEMBL4297873
anakinra,IL1R1,yes,CHEMBL1201570
gramicidin d,ABCB1,unknown,CHEMBL557217
anistreplase,PLG,yes,CHEMBL2108250
anistreplase,FGA,yes,CHEMBL2108250
anistreplase,SERPINE1,unknown,CHEMBL2108250
tenecteplase,PLG,yes,CHEMBL2108791
tenecteplase,FGA,yes,CHEMBL2108791
tenecteplase,PLAUR,unknown,CHEMBL2108791
tenecteplase,SERPINE1,unknown,CHEMBL2108791
tenecteplase,SERPINB2,unknown,CHEMBL2108791
tenecteplase,CLEC3B,unknown,CHEMBL2108791
tenecteplase,KRT8,unknown,CHEMBL2108791
tenecteplase,ANXA2,unknown,CHEMBL2108791
tenecteplase,CALR,unknown,CHEMBL2108791
tenecteplase,CANX,unknown,CHEMBL2108791
tenecteplase,LRP1,unknown,CHEMBL2108791
menotropins,FSHR,yes,CHEMBL2108427
menotropins,LHCGR,yes,CHEMBL2108427
interferon gamma-1b,IFNGR1,yes,CHEMBL1201564
interferon gamma-1b,IFNGR2,yes,CHEMBL1201564
interferon gamma-1b,CYP1A2,unknown,CHEMBL1201564
interferon alfa-2a,IFNAR1,yes,CHEMBL2108508
interferon alfa-2a,IFNAR2,yes,CHEMBL2108508
interferon alfa-2a,CYP1A2,unknown,CHEMBL2108508
desmopressin,AVPR2,yes,CHEMBL1429
desmopressin,AVPR1A,yes,CHEMBL1429
desmopressin,AVPR1B,yes,CHEMBL1429
desmopressin,PTGS1,unknown,CHEMBL1429
desmopressin,PTGS2,unknown,CHEMBL1429
coagulation factor viia recombinant human,F10,unknown,CHEMBL4297869
coagulation factor viia recombinant human,TFPI,unknown,CHEMBL4297869
coagulation factor viia recombinant human,GGCX,unknown,CHEMBL4297869
coagulation factor viia recombinant human,F7,unknown,CHEMBL4297869
coagulation factor viia recombinant human,F3,unknown,CHEMBL4297869
oprelvekin,IL11RA,yes,CHEMBL1201573
palifermin,FGFR2,yes,CHEMBL1201821
palifermin,FGFR1,unknown,CHEMBL1201821
palifermin,HSPG2,unknown,CHEMBL1201821
glucagon,GCGR,yes,CHEMBL266481
glucagon,GLP2R,unknown,CHEMBL266481
glucagon,GLP1R,unknown,CHEMBL266481
aldesleukin,IL2RB,yes,CHEMBL1201438
aldesleukin,IL2RA,yes,CHEMBL1201438
aldesleukin,IL2RG,yes,CHEMBL1201438
aldesleukin,PTGS2,unknown,CHEMBL1201438
aldesleukin,PLA2G4A,unknown,CHEMBL1201438
aldesleukin,CYP3A4,unknown,CHEMBL1201438
aldesleukin,XDH,unknown,CHEMBL1201438
aldesleukin,CYP2E1,unknown,CHEMBL1201438
botulinum toxin type b,VAMP2,yes,CHEMBL1201569
botulinum toxin type b,VAMP1,yes,CHEMBL1201569
botulinum toxin type b,SYT2,yes,CHEMBL1201569
omalizumab,FCER1A,yes,CHEMBL1201589
omalizumab,MS4A2,yes,CHEMBL1201589
lutropin alfa,LHCGR,yes,CHEMBL1201419
insulin lispro,INSR,yes,CHEMBL1201538
insulin lispro,IGF1R,unknown,CHEMBL1201538
insulin lispro,CYP1A2,unknown,CHEMBL1201538
insulin lispro,IDE,unknown,CHEMBL1201538
insulin glargine,INSR,yes,CHEMBL1201497
insulin glargine,IGF1R,unknown,CHEMBL1201497
insulin glargine,CYP1A2,unknown,CHEMBL1201497
collagenase clostridium histolyticum,COL1A1,yes,CHEMBL2108709
collagenase clostridium histolyticum,COL2A1,yes,CHEMBL2108709
collagenase clostridium histolyticum,COL3A1,yes,CHEMBL2108709
cetrorelix,GNRHR,yes,CHEMBL1200490
cetrorelix,LHCGR,unknown,CHEMBL1200490
adalimumab,TNF,yes,CHEMBL1201580
abciximab,ITGB3,yes,CHEMBL1201584
abciximab,ITGA2B,yes,CHEMBL1201584
abciximab,FCGR2A,unknown,CHEMBL1201584
abciximab,FCGR2B,unknown,CHEMBL1201584
abciximab,VTN,unknown,CHEMBL1201584
gemtuzumab ozogamicin,CD33,yes,CHEMBL1201506
gemtuzumab ozogamicin,FCGR3B,unknown,CHEMBL1201506
gemtuzumab ozogamicin,FCGR3A,unknown,CHEMBL1201506
gemtuzumab ozogamicin,FCGR1A,unknown,CHEMBL1201506
pegaspargase,SERPINA7,no,CHEMBL2108546
interferon beta-1a,IFNAR1,yes,CHEMBL1201562
interferon beta-1a,IFNAR2,yes,CHEMBL1201562
interferon beta-1a,CYP1A2,unknown,CHEMBL1201562
eptifibatide,ITGB3,yes,CHEMBL1174
infliximab,TNF,yes,CHEMBL1201581
follitropin,FSHR,yes,CHEMBL4297955
vasopressin,AVPR2,yes,CHEMBL373742
vasopressin,AVPR1A,yes,CHEMBL373742
vasopressin,AVPR1B,yes,CHEMBL373742
vasopressin,OXTR,yes,CHEMBL373742
vasopressin,ABCC2,unknown,CHEMBL373742
interferon beta-1b,IFNAR1,yes,CHEMBL1201563
interferon beta-1b,IFNAR2,yes,CHEMBL1201563
interferon beta-1b,CYP1A2,unknown,CHEMBL1201563
interferon alfacon-1,IFNAR1,yes,CHEMBL1201557
interferon alfacon-1,IFNAR2,yes,CHEMBL1201557
interferon alfacon-1,CYP1A2,unknown,CHEMBL1201557
hyaluronidase (ovine),TGFB1,unknown,CHEMBL2108607
hyaluronidase (ovine),ALB,unknown,CHEMBL2108607
insulin pork,INSR,yes,CHEMBL1201539
insulin pork,IGF1R,unknown,CHEMBL1201539
insulin pork,CYP1A2,unknown,CHEMBL1201539
insulin pork,IDE,unknown,CHEMBL1201539
trastuzumab,ERBB2,yes,CHEMBL1201585
rituximab,MS4A1,yes,CHEMBL1201576
basiliximab,IL2RA,yes,CHEMBL1201439
basiliximab,IL2RB,unknown,CHEMBL1201439
ibritumomab tiuxetan,MS4A1,yes,CHEMBL1201606
daptomycin,ALB,no,CHEMBL387675
daptomycin,ORM1,no,CHEMBL387675
daptomycin,SERPINA1,no,CHEMBL387675
daptomycin,LDLR,no,CHEMBL387675
daptomycin,SHBG,no,CHEMBL387675
daptomycin,HPX,no,CHEMBL387675
daptomycin,ABCB1,no,CHEMBL387675
tositumomab,MS4A1,yes,CHEMBL1201604
tositumomab,FCGR2B,unknown,CHEMBL1201604
pegvisomant,GHR,yes,CHEMBL1201515
pegvisomant,CYP27A1,unknown,CHEMBL1201515
pegvisomant,GLUL,unknown,CHEMBL1201515
pegvisomant,CYP3A4,unknown,CHEMBL1201515
pegvisomant,BCHE,unknown,CHEMBL1201515
pegvisomant,CYP4A11,unknown,CHEMBL1201515
botulinum toxin type a,SNAP25,yes,CHEMBL4297862
botulinum toxin type a,RHOB,unknown,CHEMBL4297862
botulinum toxin type a,ALB,unknown,CHEMBL4297862
streptokinase,PLG,yes,CHEMBL2108147
streptokinase,F2R,unknown,CHEMBL2108147
streptokinase,PLA2G4A,unknown,CHEMBL2108147
alemtuzumab,CD52,yes,CHEMBL1201587
alemtuzumab,FCGR3B,unknown,CHEMBL1201587
alemtuzumab,FCGR3A,unknown,CHEMBL1201587
alemtuzumab,FCGR1A,unknown,CHEMBL1201587
alemtuzumab,FCGR2A,unknown,CHEMBL1201587
alemtuzumab,FCGR2B,unknown,CHEMBL1201587
alemtuzumab,FCGR2C,unknown,CHEMBL1201587
capromab pendetide,FOLH1,yes,CHEMBL1201579
cyclosporine,CAMLG,yes,CHEMBL160
cyclosporine,PPP3R2,yes,CHEMBL160
cyclosporine,PPIA,yes,CHEMBL160
cyclosporine,PPIF,yes,CHEMBL160
cyclosporine,CYP3A5,unknown,CHEMBL160
cyclosporine,CYP3A4,unknown,CHEMBL160
cyclosporine,CYP2C19,unknown,CHEMBL160
cyclosporine,CYP2D6,unknown,CHEMBL160
cyclosporine,ABCB1,unknown,CHEMBL160
cyclosporine,ABCB11,unknown,CHEMBL160
cyclosporine,SLC10A2,unknown,CHEMBL160
cyclosporine,SLC10A1,unknown,CHEMBL160
cyclosporine,SLC22A6,unknown,CHEMBL160
cyclosporine,ABCC10,unknown,CHEMBL160
cyclosporine,ABCC2,unknown,CHEMBL160
cyclosporine,ABCG2,unknown,CHEMBL160
cyclosporine,SLCO1B1,unknown,CHEMBL160
cyclosporine,SLCO1B3,no,CHEMBL160
alefacept,CD2,yes,CHEMBL1201571
alefacept,FCGR3A,unknown,CHEMBL1201571
alefacept,FCGR3B,unknown,CHEMBL1201571
urofollitropin,FSHR,yes,CHEMBL1201520
efalizumab,ITGAL,yes,CHEMBL1201575
efalizumab,ITGAX,yes,CHEMBL1201575
choriogonadotropin alfa,LHCGR,yes,CHEMBL1201464
choriogonadotropin alfa,FSHR,yes,CHEMBL1201464
filgrastim,CSF3R,yes,CHEMBL1201567
filgrastim,ELANE,unknown,CHEMBL1201567
becaplermin,PDGFRB,yes,CHEMBL1201556
becaplermin,PDGFRA,unknown,CHEMBL1201556
becaplermin,A2M,unknown,CHEMBL1201556
agalsidase beta,M6PR,unknown,CHEMBL2108888
octreotide,MPO,unknown,CHEMBL1680
octreotide,CYP3A4,no,CHEMBL1680
octreotide,ALB,unknown,CHEMBL1680
octreotide,ABCB1,unknown,CHEMBL1680
octreotide,ABCC2,unknown,CHEMBL1680
interferon alfa-2b,IFNAR2,yes,CHEMBL1201558
interferon alfa-2b,IFNAR1,yes,CHEMBL1201558
interferon alfa-2b,CYP1A2,unknown,CHEMBL1201558
abarelix,GNRHR,yes,CHEMBL1252
oxytocin,OXTR,yes,CHEMBL395429
oxytocin,PREP,unknown,CHEMBL395429
oxytocin,LNPEP,unknown,CHEMBL395429
oxytocin,OXT,unknown,CHEMBL395429
oxytocin,AGER,unknown,CHEMBL395429
natalizumab,ITGA4,yes,CHEMBL1201607
natalizumab,FCGR3B,unknown,CHEMBL1201607
natalizumab,ICAM1,unknown,CHEMBL1201607
natalizumab,FCGR1A,unknown,CHEMBL1201607
enfuvirtide,gp41,yes,CHEMBL525076
enfuvirtide,CYP2C19,unknown,CHEMBL525076
enfuvirtide,CYP2E1,unknown,CHEMBL525076
palivizumab,F,yes,CHEMBL1201586
palivizumab,FCGR3B,unknown,CHEMBL1201586
palivizumab,C1R,unknown,CHEMBL1201586
palivizumab,C1QA,unknown,CHEMBL1201586
palivizumab,C1QB,unknown,CHEMBL1201586
palivizumab,C1QC,unknown,CHEMBL1201586
palivizumab,FCGR3A,unknown,CHEMBL1201586
palivizumab,FCGR1A,unknown,CHEMBL1201586
palivizumab,FCGR2B,unknown,CHEMBL1201586
daclizumab,IL2RA,yes,CHEMBL1201605
daclizumab,IL2RB,yes,CHEMBL1201605
daclizumab,FCGR3B,unknown,CHEMBL1201605
daclizumab,C1R,unknown,CHEMBL1201605
daclizumab,C1QA,unknown,CHEMBL1201605
daclizumab,C1QB,unknown,CHEMBL1201605
daclizumab,C1QC,unknown,CHEMBL1201605
daclizumab,FCGR3A,unknown,CHEMBL1201605
daclizumab,FCGR1A,unknown,CHEMBL1201605
daclizumab,FCGR2A,unknown,CHEMBL1201605
daclizumab,FCGR2B,unknown,CHEMBL1201605
daclizumab,FCGR2C,unknown,CHEMBL1201605
bevacizumab,VEGFA,yes,CHEMBL1201583
bevacizumab,C1QA,unknown,CHEMBL1201583
bevacizumab,C1QB,unknown,CHEMBL1201583
bevacizumab,C1QC,unknown,CHEMBL1201583
bevacizumab,FCGR3A,unknown,CHEMBL1201583
bevacizumab,FCGR1A,unknown,CHEMBL1201583
bevacizumab,FCGR2A,unknown,CHEMBL1201583
bevacizumab,FCGR2B,unknown,CHEMBL1201583
bevacizumab,FCGR2C,unknown,CHEMBL1201583
pyridoxal phosphate,AGXT2,unknown,CHEMBL82202
pyridoxal phosphate,AGXT2,unknown,CHEMBL3181870
pyridoxal phosphate,GAD1,unknown,CHEMBL82202
pyridoxal phosphate,GAD1,unknown,CHEMBL3181870
pyridoxal phosphate,CBS,unknown,CHEMBL82202
pyridoxal phosphate,CBS,unknown,CHEMBL3181870
pyridoxal phosphate,KYNU,unknown,CHEMBL82202
pyridoxal phosphate,KYNU,unknown,CHEMBL3181870
pyridoxal phosphate,SHMT1,unknown,CHEMBL82202
pyridoxal phosphate,SHMT1,unknown,CHEMBL3181870
pyridoxal phosphate,NFS1,unknown,CHEMBL82202
pyridoxal phosphate,NFS1,unknown,CHEMBL3181870
pyridoxal phosphate,GOT1,unknown,CHEMBL82202
pyridoxal phosphate,GOT1,unknown,CHEMBL3181870
pyridoxal phosphate,OAT,unknown,CHEMBL82202
pyridoxal phosphate,OAT,unknown,CHEMBL3181870
pyridoxal phosphate,ODC1,unknown,CHEMBL82202
pyridoxal phosphate,ODC1,unknown,CHEMBL3181870
pyridoxal phosphate,AADAT,unknown,CHEMBL82202
pyridoxal phosphate,AADAT,unknown,CHEMBL3181870
pyridoxal phosphate,ABAT,unknown,CHEMBL82202
pyridoxal phosphate,ABAT,unknown,CHEMBL3181870
pyridoxal phosphate,PNPO,unknown,CHEMBL82202
pyridoxal phosphate,PNPO,unknown,CHEMBL3181870
pyridoxal phosphate,SGPL1,unknown,CHEMBL82202
pyridoxal phosphate,SGPL1,unknown,CHEMBL3181870
pyridoxal phosphate,TAT,unknown,CHEMBL82202
pyridoxal phosphate,TAT,unknown,CHEMBL3181870
pyridoxal phosphate,CCBL1,unknown,CHEMBL82202
pyridoxal phosphate,CCBL1,unknown,CHEMBL3181870
pyridoxal phosphate,SPTLC2,unknown,CHEMBL82202
pyridoxal phosphate,SPTLC2,unknown,CHEMBL3181870
pyridoxal phosphate,CSAD,unknown,CHEMBL82202
pyridoxal phosphate,CSAD,unknown,CHEMBL3181870
pyridoxal phosphate,HDC,unknown,CHEMBL82202
pyridoxal phosphate,HDC,unknown,CHEMBL3181870
pyridoxal phosphate,AZIN2,unknown,CHEMBL82202
pyridoxal phosphate,AZIN2,unknown,CHEMBL3181870
pyridoxal phosphate,SDS,unknown,CHEMBL82202
pyridoxal phosphate,SDS,unknown,CHEMBL3181870
pyridoxal phosphate,GCAT,unknown,CHEMBL82202
pyridoxal phosphate,GCAT,unknown,CHEMBL3181870
pyridoxal phosphate,GLDC,unknown,CHEMBL82202
pyridoxal phosphate,GLDC,unknown,CHEMBL3181870
pyridoxal phosphate,GPT,unknown,CHEMBL82202
pyridoxal phosphate,GPT,unknown,CHEMBL3181870
pyridoxal phosphate,PSAT1,unknown,CHEMBL82202
pyridoxal phosphate,PSAT1,unknown,CHEMBL3181870
pyridoxal phosphate,ALAS1,unknown,CHEMBL82202
pyridoxal phosphate,ALAS1,unknown,CHEMBL3181870
pyridoxal phosphate,AGXT,unknown,CHEMBL82202
pyridoxal phosphate,AGXT,unknown,CHEMBL3181870
pyridoxal phosphate,PDXP,unknown,CHEMBL82202
pyridoxal phosphate,PDXP,unknown,CHEMBL3181870
pyridoxal phosphate,SPTLC1,unknown,CHEMBL82202
pyridoxal phosphate,SPTLC1,unknown,CHEMBL3181870
pyridoxal phosphate,CTH,unknown,CHEMBL82202
pyridoxal phosphate,CTH,unknown,CHEMBL3181870
pyridoxal phosphate,BCAT1,unknown,CHEMBL82202
pyridoxal phosphate,BCAT1,unknown,CHEMBL3181870
pyridoxal phosphate,BCAT2,unknown,CHEMBL82202
pyridoxal phosphate,BCAT2,unknown,CHEMBL3181870
pyridoxal phosphate,PROSC,unknown,CHEMBL82202
pyridoxal phosphate,PROSC,unknown,CHEMBL3181870
pyridoxal phosphate,GOT2,unknown,CHEMBL82202
pyridoxal phosphate,GOT2,unknown,CHEMBL3181870
pyridoxal phosphate,PYGB,unknown,CHEMBL82202
pyridoxal phosphate,PYGB,unknown,CHEMBL3181870
pyridoxal phosphate,PYGM,unknown,CHEMBL82202
pyridoxal phosphate,PYGM,unknown,CHEMBL3181870
pyridoxal phosphate,DDC,unknown,CHEMBL82202
pyridoxal phosphate,DDC,unknown,CHEMBL3181870
pyridoxal phosphate,GIG18,unknown,CHEMBL82202
pyridoxal phosphate,GIG18,unknown,CHEMBL3181870
pyridoxal phosphate,ALAS1,unknown,CHEMBL82202
pyridoxal phosphate,ALAS1,unknown,CHEMBL3181870
pyridoxal phosphate,GAD2,unknown,CHEMBL82202
pyridoxal phosphate,GAD2,unknown,CHEMBL3181870
pyridoxal phosphate,DDC,unknown,CHEMBL82202
pyridoxal phosphate,DDC,unknown,CHEMBL3181870
pyridoxal phosphate,CCBL2,unknown,CHEMBL82202
pyridoxal phosphate,CCBL2,unknown,CHEMBL3181870
pyridoxal phosphate,GADL1,unknown,CHEMBL82202
pyridoxal phosphate,GADL1,unknown,CHEMBL3181870
pyridoxal phosphate,SCLY,unknown,CHEMBL82202
pyridoxal phosphate,SCLY,unknown,CHEMBL3181870
pyridoxal phosphate,IGSF10,unknown,CHEMBL82202
pyridoxal phosphate,IGSF10,unknown,CHEMBL3181870
pyridoxal phosphate,PHYKPL,unknown,CHEMBL82202
pyridoxal phosphate,PHYKPL,unknown,CHEMBL3181870
pyridoxal phosphate,GAD1,unknown,CHEMBL82202
pyridoxal phosphate,GAD1,unknown,CHEMBL3181870
pyridoxal phosphate,SHMT2,unknown,CHEMBL82202
pyridoxal phosphate,SHMT2,unknown,CHEMBL3181870
pyridoxal phosphate,ALAS2,unknown,CHEMBL82202
pyridoxal phosphate,ALAS2,unknown,CHEMBL3181870
pyridoxal phosphate,GPT2,unknown,CHEMBL82202
pyridoxal phosphate,GPT2,unknown,CHEMBL3181870
pyridoxal phosphate,MOCOS,unknown,CHEMBL82202
pyridoxal phosphate,MOCOS,unknown,CHEMBL3181870
pyridoxal phosphate,SDSL,unknown,CHEMBL82202
pyridoxal phosphate,SDSL,unknown,CHEMBL3181870
pyridoxal phosphate,SRR,unknown,CHEMBL82202
pyridoxal phosphate,SRR,unknown,CHEMBL3181870
pyridoxal phosphate,SEPSECS,unknown,CHEMBL82202
pyridoxal phosphate,SEPSECS,unknown,CHEMBL3181870
pyridoxal phosphate,SPTLC3,unknown,CHEMBL82202
pyridoxal phosphate,SPTLC3,unknown,CHEMBL3181870
pyridoxal phosphate,GAD65,unknown,CHEMBL82202
pyridoxal phosphate,GAD65,unknown,CHEMBL3181870
pyridoxal phosphate,TLH6,unknown,CHEMBL82202
pyridoxal phosphate,TLH6,unknown,CHEMBL3181870
cyanocobalamin,MTR,yes,CHEMBL2110563
cyanocobalamin,MUT,yes,CHEMBL2110563
cyanocobalamin,MTRR,unknown,CHEMBL2110563
cyanocobalamin,MMAA,unknown,CHEMBL2110563
cyanocobalamin,MMACHC,unknown,CHEMBL2110563
cyanocobalamin,MTHFR,unknown,CHEMBL2110563
cyanocobalamin,MMAB,unknown,CHEMBL2110563
cyanocobalamin,cobU,unknown,CHEMBL2110563
cyanocobalamin,AMN,unknown,CHEMBL2110563
cyanocobalamin,TCN1,unknown,CHEMBL2110563
cyanocobalamin,TCN2,unknown,CHEMBL2110563
cyanocobalamin,GIF,unknown,CHEMBL2110563
cyanocobalamin,CUBN,unknown,CHEMBL2110563
cyanocobalamin,LRP2,unknown,CHEMBL2110563
cyanocobalamin,ABCC1,unknown,CHEMBL2110563
histidine,HDC,unknown,CHEMBL17962
histidine,HARS,unknown,CHEMBL17962
histidine,SLC38A3,unknown,CHEMBL17962
histidine,HAL,unknown,CHEMBL17962
histidine,SLC16A10,unknown,CHEMBL17962
ademetionine,GNMT,unknown,CHEMBL1088977
ademetionine,AMD1,unknown,CHEMBL1088977
ademetionine,MAT2A,unknown,CHEMBL1088977
ademetionine,CBS,unknown,CHEMBL1088977
ademetionine,MAT1A,unknown,CHEMBL1088977
ademetionine,COMT,unknown,CHEMBL1088977
ademetionine,CMTR1,unknown,CHEMBL1088977
ademetionine,AS3MT,unknown,CHEMBL1088977
ademetionine,CYP2E1,unknown,CHEMBL1088977
ademetionine,SRM,unknown,CHEMBL1088977
phenylalanine,TAT,unknown,CHEMBL301523
phenylalanine,SLC7A8,unknown,CHEMBL301523
phenylalanine,FARSA,unknown,CHEMBL301523
phenylalanine,PAH,unknown,CHEMBL301523
phenylalanine,FARS2,unknown,CHEMBL301523
phenylalanine,FARSB,unknown,CHEMBL301523
phenylalanine,TH,unknown,CHEMBL301523
phenylalanine,SLC16A10,unknown,CHEMBL301523
biotin,PCCB,unknown,CHEMBL857
biotin,HLCS,unknown,CHEMBL857
biotin,MCCC2,unknown,CHEMBL857
biotin,ACACB,unknown,CHEMBL857
biotin,MCCC1,unknown,CHEMBL857
biotin,PC,unknown,CHEMBL857
biotin,PCCA,unknown,CHEMBL857
biotin,ACACA,unknown,CHEMBL857
biotin,CYP1B1,unknown,CHEMBL857
biotin,SLC5A6,unknown,CHEMBL857
biotin,SLC5A8,unknown,CHEMBL857
choline,PCYT1B,unknown,CHEMBL920
choline,ACHE,unknown,CHEMBL920
choline,PCYT1A,unknown,CHEMBL920
choline,PLD2,unknown,CHEMBL920
choline,BCHE,unknown,CHEMBL920
choline,PLD1,unknown,CHEMBL920
choline,PHOSPHO1,unknown,CHEMBL920
choline,CHRNA7,unknown,CHEMBL920
choline,CEPT1,unknown,CHEMBL920
choline,CHKB,unknown,CHEMBL920
choline,CHAT,unknown,CHEMBL920
choline,CHKA,unknown,CHEMBL920
choline,CHDH,unknown,CHEMBL920
choline,SLC22A2,unknown,CHEMBL920
choline,SLC22A1,unknown,CHEMBL920
choline,SLC22A3,unknown,CHEMBL920
choline,SLC22A5,unknown,CHEMBL920
choline,SLC22A4,unknown,CHEMBL920
choline,SLC44A1,unknown,CHEMBL920
choline,SLC44A4,unknown,CHEMBL920
choline,SLC44A2,unknown,CHEMBL920
choline,SLC44A3,unknown,CHEMBL920
choline,SLC5A7,unknown,CHEMBL920
lysine,SLC7A1,unknown,CHEMBL8085
lysine,SLC7A4,unknown,CHEMBL8085
lysine,SLC7A3,unknown,CHEMBL8085
lysine,SLC7A2,unknown,CHEMBL8085
lysine,KARS,unknown,CHEMBL8085
lysine,SLC16A10,unknown,CHEMBL8085
lysine,SLC22A4,unknown,CHEMBL8085
arginine,NOS3,unknown,CHEMBL1485
arginine,SLC7A3,unknown,CHEMBL1485
arginine,AZIN2,unknown,CHEMBL1485
arginine,ASL,unknown,CHEMBL1485
arginine,NOS2,unknown,CHEMBL1485
arginine,SLC7A1,unknown,CHEMBL1485
arginine,ARG2,unknown,CHEMBL1485
arginine,SLC7A4,unknown,CHEMBL1485
arginine,ASS1,unknown,CHEMBL1485
arginine,SLC22A5,unknown,CHEMBL1485
arginine,SLC16A10,unknown,CHEMBL1485
arginine,SLC22A4,unknown,CHEMBL1485
ascorbic acid,xylA,unknown,CHEMBL196
ascorbic acid,PLOD2,unknown,CHEMBL196
ascorbic acid,PHYH,unknown,CHEMBL196
ascorbic acid,PLOD3,unknown,CHEMBL196
ascorbic acid,BBOX1,unknown,CHEMBL196
ascorbic acid,DBH,unknown,CHEMBL196
ascorbic acid,PAM,unknown,CHEMBL196
ascorbic acid,P3H1,unknown,CHEMBL196
ascorbic acid,P3H2,unknown,CHEMBL196
ascorbic acid,P3H3,unknown,CHEMBL196
ascorbic acid,P4HA1,unknown,CHEMBL196
ascorbic acid,OGFOD1,unknown,CHEMBL196
ascorbic acid,OGFOD2,unknown,CHEMBL196
ascorbic acid,ALKBH2,unknown,CHEMBL196
ascorbic acid,ALKBH3,unknown,CHEMBL196
ascorbic acid,KDM5D,unknown,CHEMBL196
ascorbic acid,PLOD1,unknown,CHEMBL196
ascorbic acid,TMLHE,unknown,CHEMBL196
ascorbic acid,P4HTM,unknown,CHEMBL196
ascorbic acid,EGLN1,unknown,CHEMBL196
ascorbic acid,EGLN2,unknown,CHEMBL196
ascorbic acid,EGLN3,unknown,CHEMBL196
